time;power;th_amb;th_amb_prev_day;is_workday
2017-06-01 04:00:00;0.25;11.3;12.3;1
2017-06-01 05:00:00;24.321915;12.1;13.3;1
2017-06-01 06:00:00;0.25;14.2;14.8;1
2017-06-01 07:00:00;21.403285200000006;19.0;15.9;1
2017-06-01 08:00:00;0.9728766000000002;20.2;16.6;1
2017-06-01 09:00:00;43.77944700000001;20.1;18.5;1
2017-06-01 10:00:00;0.25;21.3;19.8;1
2017-06-01 11:00:00;0.25;21.9;20.5;1
2017-06-01 12:00:00;27.2405448;23.4;21.9;1
2017-06-01 13:00:00;20.4304086;23.3;22.3;1
2017-06-01 14:00:00;0.25;23.3;22.0;1
2017-06-01 15:00:00;24.321915;24.4;22.9;1
2017-06-01 16:00:00;0.25;24.3;23.0;1
2017-06-01 17:00:00;21.403285200000006;24.0;21.7;1
2017-06-01 18:00:00;0.25;22.5;21.4;1
2017-06-01 19:00:00;26.267668200000006;19.9;19.9;1
2017-06-01 20:00:00;21.403285200000006;18.1;16.9;1
2017-06-01 21:00:00;23.3490384;17.1;16.0;1
2017-06-01 22:00:00;0.25;15.5;14.2;1
2017-06-01 23:00:00;0.25;14.8;14.8;1
2017-06-02 00:00:00;0.25;15.7;13.4;1
2017-06-02 01:00:00;44.7523236;14.9;13.1;1
2017-06-02 02:00:00;0.25;14.4;12.4;1
2017-06-02 03:00:00;0.25;14.3;11.5;1
2017-06-02 04:00:00;0.25;14.1;11.3;1
2017-06-02 05:00:00;6.8101362;15.1;12.1;1
2017-06-02 06:00:00;25.294791600000003;17.1;14.2;1
2017-06-02 07:00:00;19.457532;21.3;19.0;1
2017-06-02 08:00:00;0.25;22.8;20.2;1
2017-06-02 09:00:00;21.403285200000006;24.5;20.1;1
2017-06-02 10:00:00;23.3490384;25.8;21.3;1
2017-06-02 11:00:00;22.3761618;25.8;21.9;1
2017-06-02 12:00:00;0.25;27.1;23.4;1
2017-06-02 13:00:00;0.25;27.5;23.3;1
2017-06-02 14:00:00;25.294791600000003;27.4;23.3;1
2017-06-02 15:00:00;0.25;27.1;24.4;1
2017-06-02 16:00:00;22.3761618;27.9;24.3;1
2017-06-02 17:00:00;0.25;26.1;24.0;1
2017-06-02 18:00:00;24.321915;19.5;22.5;1
2017-06-02 19:00:00;0.25;19.2;19.9;1
2017-06-02 20:00:00;0.25;18.2;18.1;1
2017-06-02 21:00:00;21.403285200000006;17.5;17.1;1
2017-06-02 22:00:00;22.3761618;17.1;15.5;1
2017-06-02 23:00:00;0.25;16.5;14.8;1
2017-06-03 00:00:00;0.25;16.5;15.7;0
2017-06-03 01:00:00;24.321915;16.5;14.9;0
2017-06-03 02:00:00;21.403285200000006;16.8;14.4;0
2017-06-03 03:00:00;0.25;16.7;14.3;0
2017-06-03 04:00:00;0.25;16.9;14.1;0
2017-06-03 05:00:00;6.8101362;16.9;15.1;0
2017-06-03 06:00:00;25.294791600000003;16.7;17.1;0
2017-06-03 07:00:00;19.457532;18.2;21.3;0
2017-06-03 08:00:00;0.25;20.0;22.8;0
2017-06-03 09:00:00;21.403285200000006;21.8;24.5;0
2017-06-03 10:00:00;0.25;23.1;25.8;0
2017-06-03 11:00:00;27.2405448;23.4;25.8;0
2017-06-03 12:00:00;18.4846554;23.9;27.1;0
2017-06-03 13:00:00;0.25;24.9;27.5;0
2017-06-03 14:00:00;25.294791600000003;25.2;27.4;0
2017-06-03 15:00:00;0.25;23.1;27.1;0
2017-06-03 16:00:00;21.403285200000006;22.6;27.9;0
2017-06-03 17:00:00;0.25;22.3;26.1;0
2017-06-03 18:00:00;22.3761618;21.6;19.5;0
2017-06-03 19:00:00;0.25;20.0;19.2;0
2017-06-03 20:00:00;0.25;19.2;18.2;0
2017-06-03 21:00:00;27.2405448;19.0;17.5;0
2017-06-03 22:00:00;16.5389022;16.1;17.1;0
2017-06-03 23:00:00;0.25;15.7;16.5;0
2017-06-04 00:00:00;25.294791600000003;15.3;16.5;0
2017-06-04 01:00:00;0.25;14.5;16.5;0
2017-06-04 02:00:00;21.403285200000006;13.9;16.8;0
2017-06-04 03:00:00;0.25;14.0;16.7;0
2017-06-04 04:00:00;0.25;14.3;16.9;0
2017-06-04 05:00:00;24.321915;14.4;16.9;0
2017-06-04 06:00:00;0.25;14.8;16.7;0
2017-06-04 07:00:00;21.403285200000006;15.1;18.2;0
2017-06-04 08:00:00;0.25;15.7;20.0;0
2017-06-04 09:00:00;23.3490384;16.8;21.8;0
2017-06-04 10:00:00;0.25;17.1;23.1;0
2017-06-04 11:00:00;20.4304086;18.8;23.4;0
2017-06-04 12:00:00;22.3761618;19.2;23.9;0
2017-06-04 13:00:00;0.25;16.8;24.9;0
2017-06-04 14:00:00;0.25;18.5;25.2;0
2017-06-04 15:00:00;29.186298;18.3;23.1;0
2017-06-04 16:00:00;18.4846554;17.9;22.6;0
2017-06-04 17:00:00;0.25;17.8;22.3;0
2017-06-04 18:00:00;24.321915;18.5;21.6;0
2017-06-04 19:00:00;9.728766;16.7;20.0;0
2017-06-04 20:00:00;12.647395800000002;15.8;19.2;0
2017-06-04 21:00:00;20.4304086;15.8;19.0;0
2017-06-04 22:00:00;0.25;14.6;16.1;0
2017-06-04 23:00:00;0.25;13.7;15.7;0
2017-06-05 00:00:00;28.2134214;12.1;15.3;1
2017-06-05 01:00:00;20.4304086;10.5;14.5;1
2017-06-05 02:00:00;0.25;9.8;13.9;1
2017-06-05 03:00:00;0.25;9.5;14.0;1
2017-06-05 04:00:00;22.3761618;9.3;14.3;1
2017-06-05 05:00:00;0.25;9.8;14.4;1
2017-06-05 06:00:00;19.457532;11.4;14.8;1
2017-06-05 07:00:00;0.25;14.0;15.1;1
2017-06-05 08:00:00;25.294791600000003;15.9;15.7;1
2017-06-05 09:00:00;3.8915064;16.9;16.8;1
2017-06-05 10:00:00;17.511778800000002;18.1;17.1;1
2017-06-05 11:00:00;24.321915;19.8;18.8;1
2017-06-05 12:00:00;0.25;20.0;19.2;1
2017-06-05 13:00:00;0.25;20.0;16.8;1
2017-06-05 14:00:00;28.2134214;21.0;18.5;1
2017-06-05 15:00:00;18.4846554;21.1;18.3;1
2017-06-05 16:00:00;0.25;21.1;17.9;1
2017-06-05 17:00:00;0.25;21.5;17.8;1
2017-06-05 18:00:00;29.186298;20.8;18.5;1
2017-06-05 19:00:00;20.4304086;20.0;16.7;1
2017-06-05 20:00:00;0.25;15.6;15.8;1
2017-06-05 21:00:00;23.3490384;14.4;15.8;1
2017-06-05 22:00:00;0.25;12.9;14.6;1
2017-06-05 23:00:00;1.9457532;12.4;13.7;1
2017-06-06 00:00:00;46.6980768;12.3;12.1;1
2017-06-06 01:00:00;0.25;11.9;10.5;1
2017-06-06 02:00:00;0.25;12.5;9.8;1
2017-06-06 03:00:00;0.25;14.2;9.5;1
2017-06-06 04:00:00;27.2405448;15.5;9.3;1
2017-06-06 05:00:00;21.403285200000006;15.8;9.8;1
2017-06-06 06:00:00;0.25;16.6;11.4;1
2017-06-06 07:00:00;0.25;17.0;14.0;1
2017-06-06 08:00:00;24.321915;15.0;15.9;1
2017-06-06 09:00:00;0.25;15.5;16.9;1
2017-06-06 10:00:00;20.4304086;14.5;18.1;1
2017-06-06 11:00:00;0.25;12.2;19.8;1
2017-06-06 12:00:00;24.321915;16.3;20.0;1
2017-06-06 13:00:00;0.25;16.5;20.0;1
2017-06-06 14:00:00;21.403285200000006;17.8;21.0;1
2017-06-06 15:00:00;22.3761618;14.4;21.1;1
2017-06-06 16:00:00;0.25;16.0;21.1;1
